category,executor,text,theme
5,55,повышенный пешеходный поток трц премьер центральный автовокзал образный перекрёсток премьера официальный пешеходный переход человек переходить дорога дело рисковать свить жизнь прямой смысл слово поэтому необходимый срочный порядок организовать пешеходный регулировать нерегулируемый хороший выйти установка знак пешеход светодиоидный огонь светоотражателмить использование разметка стоп линия авто знак ограничение скорость километр число въезд выезд территория трц премьер очень странно пешеходный дорожка очень широкий хороший пешеходник возможность обустроить далёкий нужно делать дополнительный поворотный асфальтовый дорожка,76
2,55,приокск район город крупный парковый рязань парк дружба полностью отсутствовать освещение ых год необходимый восстановить освещение удобство гулять вечером,53
5,55,считать необходимый восстановить светофор улица октябрьский пересечение улица магистральный безопасный переход житель район остановка прогулка парка необходимость заключаться близость школа метр оттуда необходимый ликвидировать пешеходный переход усмотрение фактически останавливаться автомобиль сбивать насмерть человек также немного сдержать водитель гонка пробка путепровод заметно снизить аварийность место происходить каждый неделя огромный просьба заменить старый работать установить новый современный секционный светофор создать пешеходный светофор откуда взять лишний светофор перекрёсток ленин почтовый светофор работать холостой повернуть сторона пешеходный зона также вполне логично снять светофор перекрёсток московский михайловский шоссе постоянно мигать жёлтый использоваться установить новое везде,68
4,68,пешеходный мост р трубеж азс отвалиться забор необходимый восстановить,161
16,55,ответ каплинский андрей леонид начальник управление транспорт город рязань предложить заявитель вариант организация остановочный пункт ул юбилейный район жилой дом соответствовать требование организация автобусный остановка определённый ост результат обследование установить возможно целесообразно обустроить остановочный пункт участок уличный дорожный сеть ул крупский район жилой дом напротив существующий оот школа результат обследование предложение обустройство остановка общественный транспорт ул крупский направить профильный подразделение администрация город ответ администрация город остановочный комплекс оборудовать конец начало год,106
5,55,обращение менее серьёзный проблема связать отсутствие остановка маршрутка переход поворот шереметьевский улица песочинский около клиника мать дитя тротуар приходиться идти дорога представлять опасность попасть машина движение машина ул шереметъвский стать очень интенсивный неоднократный обращение администрация город решение проблема пока дать несчастный случай,123
16,55,остановка рембыттехник ул халтурин правый сторона движение пос шлаковый полностью отсутствовать всякий покрытие козырёк остановка пассажир ожидать общественный транспорт время дождь ожидать скрываться непогода козырёк остановка стоять словно цапля нога вокруг вод защита сверху плывун снизу человек уважать свой город,77
3,36,добрый день обращаться неравнодушный житель писать терпеть безобразие большой дело вокруг наш дом который год вестись активный застройка многоэтажный дом строительный компания северный компания зелёный сад капитал наш дом вести дорога выезд улица кальный дорога находиться ужасный состояние строительный автомашина проезжать разбивать покрытие разбрасывать строительный мусор говорить шум который раздаваться стройка проезжать строительный машина возить многотонный грузовик бетон грунт единственный асфальтировать дорога превратиться грунтовка дождь пройти магазин остановка совершенно невозможно грязь колено наш район молодая проживать большой количество семья ребёнок постоянный стройка строительный машина загрязнять детский площадка окружающий среда наш ребёнок дышать пыль проводить строительный работа просить разобраться сложиться ситуация взять свой личный контроль обращение также дублироваться глава регион который ввести мораторий застройка центральный часть рязань призвать строительный компания добросовестный работа включать организация строительный деятельность мешать гражданин фотография прилагаться ответ администрация город прийти ответ двор входить программа благоустройство ооо альфа оштрафовать однако пора каждый день многотонный машина далёкий разбивать единственный проезжий часть скоро наступить осень помимо строительный мусор выть добавиться грязь машина принять мера,128
4,68,участок внутридомовый территория дом дом ул бирюзовый разбитый состояние кажется бомбить самый жаркий погода лужа скорее море высыхать,161
2,55,протяжение метр объект мбоу мбоу черезовский пруд стоять фонарь новый светодиодный лампа фонарь работать итог ребёнок возвращаться дополнительный занятие школа должный идти полностью неосвещенный участок дорога просить устранить проблема освещение дать участок,53
4,55,начало перекрыть дорога связь работа дом адрес ул бирюзовый связь образовываться пробка большой скопление машина место вестись работа заметить работник дождливый погода образоваться грязь отсутствие асфальт представлять раскопать участок дорога преодолеть данный участок невозможно,137
2,55,весь протяжение ул кальный гореть частично фонарь,53
13,62,выходной день внеучебный время школа закрытый замок,27
18,55,подъезд парковка проезд место должный проезд лежать бетонный плита который большой выбоина парковка оборудовать машина ставить обычный земля грязь лужа,148
5,55,проблемный тема стёртый дорожный разметка отсутствие асфальт чертить разметка черта город частное микрорайон канищево полностью отсутствовать дорожный покрытие частное сектор жить пожилое человек добираться дом дорога проблематично затратный время также сектор ребёнок школьник студент который ежедневно необходимый посещать образовательный учреждение микрорайон проживать человек проблема опорный двигательный аппарат помимо существующий выбоина дорога вести частичный дефект автомобиль дождливый погода дать ям дорога превращаться большой лужа сектор полностью отсутствовать пешеходный тротуар единственный способ добраться общественный транспорт больница детский сад магазин тд проезжать часть просьба принять мера,119
5,55,дом частное сектор улица кальна отсутствовать твёрдый дорожный покрытие полностью машина который ездить участок грязный погода выносить грязь пешеходный дорожка твёрдый дорожный покрытие весной год дать участок разровнять ям лето появиться снова самый создавать аварийный ситуация угроза целостность автомобиль некоторый человек участок единственный возможность выбраться дом двор просьба проложить твёрдый дорожный покрытие соответствие норма речь идти несколько сотня метр,119
4,68,наш двор проблема разбитый асфальт огромный ям детский площадка окружать наш дом контейнерный бак который постоянно полный старое дерево куст спать наркоман валяться алкоголик помочь пожалуйста,161
11,68,прошлый зимой жэу присылать свой сотрудник чистить снег крыша долбить лёд ломами соответственно повредить покрытие весной крыша потечь жить последний этаж намокнуть отойти обои половина стена повредиться оргалит линолеум написать заявление ремонт приходить комиссия который зафиксировать повреждение лето сделать время дождь крыша продолжать течь обратиться жэу сказать ждать прийти время капитальный ремонт никакой решение проблема предложить ужас ждать квартира начаться снег хотеться узнать тратиться наш деньга который ежемесячно платить содержание жильё,140
3,36,добрый день начало неделя убрать мусорный площадка ряд дом улица урицкий дать площадка расположить место дом год информация жэу площадка убрать указание директор организация андронов причина ряд грязно бесконтрольно сваливать мусор жилец дом который обслуживаться жэу дом также причина жилец дом сваливать строительный мусор ремонт квартира настоящее время место который убрать контейнер жилец дом продолжать сваливать мусор пожилое человек дорога место установка контейнер занимать большой время лицо жильцов наш дом просить вернуть контейнер старое место организовать плановый вывоз мусор,128
11,27,подъезд номер угловой половина почтовый ящик отсутствовать отломать дверца искривить убедительный просьба помочь решить проблема,149
5,55,улица халтурин сторона спортивный стоить знак дорога односторонний движение весь улица стоить знак конец дорога односторонний движение допустимый знак допускаться устанавливать дать участок дорога согласно гост р плата,120
11,68,местами разрушаться стена свой сила замазывать цемент часто затапливать подвал гнилой труба водопроводный вод очень грязный пригодный питие кипячение входной подъезд дверь отвратительный состояние голова периодически падать часть крыша дом разваливаться козырёк вход цемент падать голова окно коридор треснутый разбитый,78
3,36,территория торец дом ул баженов сторона областной психоневрологический диспансер рабочий время забитый машина огромный количество автомобиль постоянно прибывать убывать приводить неблагоприятный экологический обстановка превышение уровень шум выхлопной газ областной психоневрологический диспансер иметь собственный парковка территория вокруг диспансер обнести забор вполне вразумительный затрата здание диспансер корпус медучилище вполне поместиться гостевой парковка,143
4,52,весь контейнер мусор переполнить мусор проезжий часть отвратительный антисанитария который повлечь распространение микроб запах различный вредитель,86
5,55,помочь решить проблема расти достаточно населить район часть дорожный полотно район перинатальный центр ужасный состояние ям ям объехать зачастую невозможно понятно дом сторона стадия строительство дорога разбивать строительный техника очень человек жить дать район частный сектор новостройка безобразие день день разбивать свой автомобиль подобие дорога приезжать снимать телевидение проблема решить засыпать гравий полумера помочь очень просить произвести ремонт дать участок дорога большой количество человек безмерно благодарный,119
4,54,вывозить мусор контейнерный площадка невозможно подойти контейнер,86
11,68,октябрьский городок отопление квартира холодный дом маленькая ребёнок проблема отопительный система продолжаться каждый год решить получаться вызывать каждый год комиссия толк платить отопление тыща рубль мёрзнуть постоянно обогреватель иискупать ребёнок целый проблема помочь найти причина устранить выносить каждый год мучиться,112
2,55,месяц работать светодиодный светильник ул боголюбов дом заявка подавать неоднократно увы изменение ходить вечерний время сутки улица становиться страшно бегать бездомный собака который охранять стройка улица надеяться поможито решить наш проблема жить глухой деревня темнота,53
2,55,год гореть светодиодный светильник дом ул верхний заявка подаваться дирекция благоустройство город неоднократно просить установить дополнительный светильник дом мимо дом сеть дорожка который человек приезжать вода родник ребёнок послать школа вечерний время сутки идти пол темнота просить решить вопрос,53
2,55,некоторый время назад улица мервинский поменять фонарь неисправный светодиодный проезжий часть пешеходный часть улица отсутствовать освещение результат вечером абсолютно тёмный улица проезжий часть пешеходный просить обратить внимание часть улица поворот центр единоборство,53
5,55,улица мервинский поворот центр единоборство абсолютно разрушить дорожный покрытие множество ям колдобина притом недавно открытие центр дорога отремонтировать именно поворот далёкий причина стать ситуация ухудшаться наличие многочисленный припарковать машина просить обратить внимание,119
5,43,дом подъехать весь сторона ям колдобина,119
4,31,постоянно завод жби стекать вод грязь тротуар проезжий часть весь протяжение завод улица чкалов летом год положить новый асфальт тротуарный дорожка завод продолжать сливать грязь пешеход пройти проезжий часть течь ручей весной,44
11,31,протяжение несколько год отсутствие горячее водоснабжение сель который ранний глава поселение проблема обращать внимание,115
4,24,ребёнок наш будущее многий аксиома сожаление поход внук сад столкнуться следующий проблема дело детский сад год рязань тротуар летом сухой погода пройти сезон дождь стать серьёзный проблема тротуар родитель вести ребёнок проезжий часть рисковать жизнь одежда весь водитель притормаживать вид пешеход пожалуйста сделать нормальный тротуар садик благодарный сотня ребёнок родитель заранее,136
11,31,совершенно греть батарея ванна комната обращаться жкх однократно ответ следующий помочь мочь колодец поставить деталь работник котельная плохо поступать тепло жильё котельная говорят должный проблема решить работник жкх убедительный просьба помочь разрешение дать ситуация проблема весь мкр заречный,115
1,38,получить извещение уплата налог плохо работать налоговый служба народ просиживать часами налоговый б получить извещение весь мочь сходить налоговый наступить пеня брать сотрудник налоговый несвоевременный доставка извещение пожилое человек который мочь сходить налоговый,160
4,31,звать проживать рязань год большой неделя двор вестись работа благоустройство устанавливаться бордюр вчера уложить асфальт интересно технология потрескаться местами провалиться зимой мочь проводиться работа понятно отмываться точнее закапываться деньга хотеться обратить внимание,0
4,31,год двор адрес ул черновицкий дом корп дом дом дом отсутствовать освещение гореть уличный фонарь обслуживающий компания ооо комфорт плюс сообщить решение дать проблема входить обязанность перенаправить диспетчерский номер проинформировать заявка сделать проблема устранить знать день никакой ремонтный работа произвести,0
11,27,председатель правление тсж сокол выполнять свой полномочие житель подъезд ул зубков корп месяц жить лифт отключить требоваться замена редуктор предписание замена редуктор год назад председатель момент предпринять житель устать подниматься пешком ребёнок коляска редуктор деньга проплатить председатель также председатель некачественно работать двор грязь детский площадка прислать негодность качели горка лавочка сломать подъезд убирать мусор мыть полый проводиться косметический ремонт жилец платить деньга поделать мочь просить разобраться дать проблема привлечь ответственность председатель тсж сокол также провести проверка работа председатель подавать квц ложный информация счётчик отопление,72
11,68,вход подъезд перестать гореть свет жилец пробовать поменять лампочка получиться видимо повредить провод помочь пожалуйста очень проблематично ходить темнота маленькая ребёнок санки коляска страшно безопасно,60
11,27,дом ремонтироваться большой год последний ремонт год обрушиться стен сырость подъезд прислать пригодность стена обрушиться новое делать стать просить принять мера рассмотреть дом,31
16,55,налоговый инспекция ул славянский проспект останавливаться транспорт место остановка асфальтировать предлагать сделать официально остановка пожилое человек ехать налоговый,106
11,27,начало год украсть крышка люк пройти месяц крышка люк поставить люк ограждение,72
11,27,большой гореть фонарь ул беляков дом дом заявка,150
11,27,двор старое липа который ветер падать сухой ветка создавать угроза здоровье жизнь жильцов,150
5,43,большой глубокий ям перекрёсток долгий время,119
4,31,возле офисный здание адрес право лыбедскай улица гореть фонарь уличный освещение сторона ул радищев просьба исправить фото,44
5,55,тротуар музыкальный училище регулярно парковаться автомобиль заезжать бордюр сторона остановка пешеходный переход сторона ул середа двигаться тротуар водитель почему считать иметь преимущество пешеход разгонять сигнал действие водитель создавать опасность пешеход идти тротуар ребёнок старик нарушать пдд подпадать административный ответственность вызывать гибдд каждый уборка припарковать автомобиль проблематично предлагать устранить возможность совершение административный нарушение именно ограничить въезд тротуар помощь искусственный ограждение столб передвижной клумба полусфера фото,122
4,31,гореть фонарь уличный освещение ряд дом адрес ул кудрявцев дать место находиться пешеходный переход фото неработающий фонарь,44
20,37,мопогит пожалуйста вернуть речка дело наш деревня ванчура находиться леса случай возникновение пожар негде взять вода человек жить круглый год деревня живой строить дом разводить скатин летом ребёнок гордиться ветеран великий отечественный война,107
11,31,наш деревня ванчура полноценный свет дело свет подавать киловатт платить киловатт деревня живать жить круглый год человек разводить скатин летом приезжать большой народ ребёнок ужели наш ветеран великий отечественный война должный платить полноценный свет,115
11,27,ул беляков дом подъезд течь крыша подъезд отсутствовать батарейка почтовый ящик,142
11,27,улица беляков ул забайкальский убираться улица валяться пустой бутылка банка очень мусор убираться повалить дерево ул беляков дом детский школа искусство дом около детский садик,142
5,43,финансирование строительство дорога дорога зарасти дерево самостроить,119
11,27,ул беляков далее подъезд подъезд батарейка ржавчина гриб свищ заявка жэк многократно также подъезд прорыв батарейка,142
20,37,ул беляков далее ый подъезд угол дом приезжать машина торговать продуктовый промышленный товар продавец убирать вааться ящик упаковка товар очень мусор дворник территория должный убирать территория торговать,2
11,27,ул беляков далее дом подвал весь завалить мусор подвал дом убирать,142
11,27,ул беляков дом подъезд прорыв канализация труба подвал менять просить проверить состояние труба избежать прорыров канализация будущее,142
11,27,ул беляков двор дом двор убирать кругом пустой бутылка банка всякий мусор,142
6,31,ул беляков канава завалить мусор убирать годами,1
6,31,ул беляков супермаркет сорок детский площадка около детский площадка убирать понятно должный убирать территория дворник который работать сорока убирать метр площадь около магазин около супермаркет очень машина постоянно бросать упаковка чипсы прочий мусор дворник убирать,1
6,31,ул беляков дом весь заваленомусор видимо мусор выбрасывать окно многократный заявка комбайнбыт сервис рязань беляков результат давать говорят заявка принять территория убирать,1
5,55,дом ул кальный год отсутствовать асфальтовый покрытие дорога год ошибаться дорога засыпать асфальтовый крошка зима весь уплыть дорога карта воспользоваться данный момент мочь полноприводный автомобиль грузовить грунтовый весь грязь колесо выноситься соседний улица просьба сделать нормальный дорога твёрдый покрытие восстановление полноценный движение дать участок ул кальна позволить немного разгрузить касимовский шоссе фото дорога,119
20,37,ряд дом адрес касимовский шоссе находиться подстанция возле подстанция разбросать различный мусор бутылка пакет ветка автопокрышка просьба привести указанный территория порядок фото прилагать,2
20,37,касимовский переулок дом небольшой зелёный зона который весь завалить различный мусор просьба навести порядок убрать мусор фото прилагать,2
11,27,подвальный окошко весь дом ужасный состояние закрытый плассмасса картон решётка окошко красить просить привести подвльный окошко нормальный состояние также угол дом первое подъезд лестница ранний вход подвал весь завалить мусор просить убрать мусор огородить бывший вход,142
5,55,просить ограничить возможность парковка автомобиль тротуар противоположный сторона ргрот дать участок достаточно широкий тротуар водитель автомобиль наверное знакомый пдд двигаться парковать свой машина тротуар самый нарушать правило создавать угроза безопасность пешеход фото прилагать,119
5,43,ул беляков дорога ужас состояние дорога около школа участок дом детский садик номер асфальт отсутствовать дом угол огромный выбоина дорога дом дом отсутствовать асфальт дорога камень,119
4,24,весь улица беляков завалить ветка кругом повалить дерево дом дом детский школа искуство парка,22
6,31,около помойка ул беляков дом устроить свалка помойка убирать помойка убирать годами прилегать территория завалить мусор,1
5,43,отсутствовать освещение проезд улица бирюзовый интернациональный вдоль дом бирюзовый далее бирюзовый далее тёмный время сутки фонарик невозможно пройти двор вышеуказанный дом темно освещение подъезд дом который освещать территория вблизи подъезд просьба решить вопрос прежде вопрос безопасность житель студент находиться ряд колледж электроника,103
5,43,добрый день помочь дорога рязанский район плачевный состояние жить пос стенькино рязанский район дорога домой проезжать ровный дорога ужас асфальт весь трещать колесо весь дорога трещина асфальт идти землетрясение очень страшно опасный ездить дорога деваться работать рязань ребёнок школа возить каждый день,119
4,24,просить ограничить возможность парковать автомобиль тротуар установить цветочный клубм столбик полусфера вдоль здание магазин планет мебель банк вятич ул яхонтовый далее далее водитель вместо парковать автомобиль вдоль бордюр дорога заезжать тротуар двигаться тротуар парковать автомобиль нарушение пдд создавать самый помеха подвергать опасность пешеход тротуар фото,136
11,27,весь додвал дом завалить мусор жэк менять труба третье подъезд убрать мусор подъезд остальной мусор подъезд убирать стать мусор квартира очень таракан муравей просить привести подвал весь дом порядок,142
